premise,hypothesis,label
"This relationship 
implies that there is a ﬁnite carbon budget that cannot be exceeded in 
order to limit warming to any given level.","Globally, adaptation options related 
to agroforestry and forestry have a sharp decline in effectiveness at 3°C, 
with a substantial increase in residual risk ( medium conﬁdence ).",neutral
"Embedding effective and equitable adaptation and mitigation in 
development planning can reduce vulnerability, conserve and restore 
ecosystems, and enable climate resilient development.",Climate resilient development can be achieved by including effective and equitable adaptation and mitigation in development planning.,entailment
"Embedding effective and equitable adaptation and mitigation in 
development planning can reduce vulnerability, conserve and restore 
ecosystems, and enable climate resilient development.",It is false that Climate resilient development can be achieved by including effective and equitable adaptation and mitigation in development planning.,contradiction
"Embedding effective and equitable adaptation and mitigation in 
development planning can reduce vulnerability, conserve and restore 
ecosystems, and enable climate resilient development.","The median ﬁve-year interval at which a 1.5°C global warming level is reached (50% probability) in categories of modelled pathways considered 
in WGIII is 2030 –2035.",neutral
"{WGIII SPM footnote 27 }
94 Implementation gaps refer to how far currently enacted policies and actions fall short of reaching the pledges.",Implementation gaps are how far policies and actions fall short of reaching pledges.,entailment
"{WGIII SPM footnote 27 }
94 Implementation gaps refer to how far currently enacted policies and actions fall short of reaching the pledges.",Implementation gaps are not how far policies and actions fall short of reaching pledges.,contradiction
"{WGIII SPM footnote 27 }
94 Implementation gaps refer to how far currently enacted policies and actions fall short of reaching the pledges.","Vulnerability information is based on two 
global indicator systems, namely INFORM and World Risk Index.",neutral
"Emissions 
pathways that reach and sustain net zero GHG emissions deﬁned by the 
100-year global warming  potential imply net negative CO 2 emissions 
and are projected to result in a gradual decline in surface temperature 
after an earlier peak (high conﬁdence ).",Emissions pathways that reach and sustain net zero GHG emissions defined by the 100 year global warming potential imply net negative CO 2 emissions and are projected to result in a gradual decline in surface temperature after an earlier peak.,entailment
"Emissions 
pathways that reach and sustain net zero GHG emissions deﬁned by the 
100-year global warming  potential imply net negative CO 2 emissions 
and are projected to result in a gradual decline in surface temperature 
after an earlier peak (high conﬁdence ).",Emissions pathways that reach and sustain net zero GHG emissions defined by the 100 year global warming potential imply net negative CO 2 emissions and are not projected to result in a gradual decline in surface temperature after an earlier peak.,contradiction
"Emissions 
pathways that reach and sustain net zero GHG emissions deﬁned by the 
100-year global warming  potential imply net negative CO 2 emissions 
and are projected to result in a gradual decline in surface temperature 
after an earlier peak (high conﬁdence ).","The SYR primarily uses scenarios when referring to WGI and modelled emissions and 
mitigation pathways when referring to WGIII.",neutral
"Mitigation efforts embedded within the wider development 
context can increase the pace, depth and breadth of emission reductions 
(medium conﬁdence ).","The pace, depth and breadth of emission reductions can be increased by the efforts embedded within the wider development context.",entailment
"Mitigation efforts embedded within the wider development 
context can increase the pace, depth and breadth of emission reductions 
(medium conﬁdence ).","It is false that The pace, depth and breadth of emission reductions can be increased by the efforts embedded within the wider development context.",contradiction
"Mitigation efforts embedded within the wider development 
context can increase the pace, depth and breadth of emission reductions 
(medium conﬁdence ).","The contributions of different sectors vary across 
modelled mitigation pathways.",neutral
"The future changes to 2100 (coloured lines and shading) are assessed consistently with observational constraints based on emulation of CMIP , ice-sheet, and glacier models, and  
likely ranges are shown for SSP1-2.6 and SSP3-7.0.","The future changes are assessed with observational constraints based on ice-sheet, glacier, and CMIP models, and likely ranges are shown for SSP1-2.6 and SSP3-7.",entailment
"The future changes to 2100 (coloured lines and shading) are assessed consistently with observational constraints based on emulation of CMIP , ice-sheet, and glacier models, and  
likely ranges are shown for SSP1-2.6 and SSP3-7.0.","The future changes are not assessed with observational constraints based on ice-sheet, glacier, and CMIP models, and likely ranges are shown for SSP1-2.6 and SSP3-7.",contradiction
